
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001919                       # Number of seconds simulated (Second)
simTicks                                   1919300000                       # Number of ticks simulated (Tick)
finalTick                                  1919300000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.41                       # Real time elapsed on the host (Second)
hostTickRate                                143137009                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1226268                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   212535                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     394975                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3838601                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5567757                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6121                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5506494                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1588                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               277675                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            473041                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3617056                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.522369                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.150688                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2000684     55.31%     55.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    344708      9.53%     64.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    325750      9.01%     73.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    240885      6.66%     80.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    205702      5.69%     86.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    183010      5.06%     91.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    199229      5.51%     96.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     82305      2.28%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     34783      0.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3617056                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   47447     78.17%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     78.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     78.17% # attempts to use FU when none available (Count)
